frame,t_sec,text,ocr_conf,cls,damage,mult,bbox_x,bbox_y,bbox_w,bbox_h,mult_tokens,rgb_r,rgb_g,rgb_b,r_over_g,colour_class
8,696.0,Carnivorous Plant,1.0,other,,,0.44041,0.96382,0.12064,0.02067,,248.1,247.4,246.6,1.003,neutral
8,696.0,Crucible of the Dead,1.0,other,,,0.89244,0.9713,0.09884,0.01852,,213.8,208.7,187.0,1.025,cream_dealt
8,696.0,125,1.0,hud,125,,0.71948,0.88889,0.01453,0.01292,,188.9,178.2,153.7,1.06,cream_dealt
8,696.0,03:02,1.0,other,,,0.77471,0.88889,0.02326,0.01292,,189.9,183.1,159.6,1.038,cream_dealt
8,696.0,151,1.0,hud,151,,0.82558,0.85013,0.0189,0.01809,,188.0,87.0,47.6,2.161,red_taken
8,696.0,"(51,920/582,590)",1.0,health_readout,,,0.28779,0.73643,0.0843,0.01809,,232.6,228.9,228.2,1.016,neutral
8,696.0,"(119,838/221,351)",1.0,health_readout,,,0.46948,0.71576,0.09012,0.0155,,228.8,229.7,234.2,0.996,neutral
8,696.0,"(180,662/569,330)",1.0,health_readout,,,0.40552,0.67959,0.09012,0.0155,,237.8,236.0,238.0,1.008,neutral
8,696.0,Objectives,1.0,other,,,0.87351,0.6818,0.05531,0.01883,,229.6,172.4,97.5,1.331,cream_dealt
8,696.0,"(18,733/272,948)",1.0,health_readout,,,0.30959,0.55814,0.08576,0.0155,,237.3,231.6,228.1,1.025,cream_dealt
8,696.0,9217 19438453,1.0,other,,,0.45201,0.58632,0.05674,0.02115,,199.0,194.2,189.9,1.025,cream_dealt
8,696.0,5703,1.0,bare,5703,,0.51017,0.59948,0.0189,0.01034,,208.1,190.7,204.7,1.091,cream_dealt
8,696.0,21050,1.0,bare,21050,,0.46512,0.55039,0.02471,0.01292,,164.7,154.0,151.6,1.07,cream_dealt
8,696.0,26864,1.0,bare,26864,,0.44041,0.52196,0.02616,0.0155,,134.4,103.8,91.9,1.295,cream_dealt
8,696.0,"(172,118/278,543)",1.0,health_readout,,,0.3968,0.44444,0.09012,0.0155,,228.6,228.1,225.2,1.002,neutral
8,696.0,14056/20005,1.0,health_readout,,,0.30233,0.05426,0.05378,0.0155,,235.0,226.9,222.8,1.036,cream_dealt
8,696.0,1594/2576,1.0,health_readout,,,0.64817,0.05102,0.04522,0.01941,,230.3,235.9,234.1,0.976,neutral
8,696.0,10,1.0,bare,10,,0.43605,0.0155,0.01308,0.01034,,254.5,253.8,255.0,1.003,neutral
8,696.0,Dlant - Eldritch,0.5,other,,,0.45785,0.90181,0.0843,0.01578,,231.7,232.0,229.8,0.999,neutral
8,696.0,O Eliminate all Enemies,0.5,other,,,0.87936,0.66111,0.08576,0.01589,,217.8,220.9,223.2,0.986,neutral
8,696.0,"(14,056/298(0205)",0.5,other,,,0.4593,0.6124,0.07994,0.0155,,232.6,227.9,225.3,1.021,cream_dealt
8,696.0,41622 (x1.79),0.5,crit,41622,1.79,0.43605,0.56574,0.07703,0.02341,1.79,242.2,227.8,194.3,1.063,cream_dealt
8,696.0,X1,0.3,other,,,0.82267,0.90439,0.0189,0.02067,,170.0,141.7,107.8,1.2,cream_dealt
8,696.0,"31215 (x1,67",0.3,crit_garbled,,1.67,0.3106,0.65566,0.06302,0.02827,1.67,148.9,148.1,142.4,1.005,neutral
8,696.0,9465(x147),0.3,other,,,0.30375,0.59665,0.06256,0.02633,,212.2,204.0,135.6,1.04,cream_dealt
9,698.0,Gladiator,1.0,other,,,0.00577,0.97377,0.04514,0.01629,,214.9,210.2,191.8,1.022,cream_dealt
9,698.0,9:49:04,1.0,other,,,0.00872,0.93798,0.04797,0.0155,,214.0,206.4,186.4,1.037,cream_dealt
9,698.0,Carnivorous Plant,1.0,other,,,0.44041,0.96382,0.12064,0.02067,,248.5,246.1,243.3,1.01,neutral
9,698.0,Eldritch,1.0,other,,,0.50142,0.90154,0.04076,0.01605,,237.2,233.0,231.1,1.018,neutral
9,698.0,125,1.0,hud,125,,0.71948,0.88889,0.01453,0.01292,,188.9,178.2,153.7,1.06,cream_dealt
9,698.0,03:04,1.0,other,,,0.77471,0.88889,0.02326,0.01292,,191.2,184.7,163.8,1.035,cream_dealt
9,698.0,152,1.0,hud,152,,0.82558,0.85013,0.0189,0.01809,,196.7,84.8,50.4,2.319,red_taken
9,698.0,10158 (x1.77),1.0,crit,10158,1.77,0.47093,0.74677,0.05814,0.0155,1.77,175.5,201.2,210.2,0.872,neutral
9,698.0,22242 (x1.67),1.0,crit,22242,1.67,0.43459,0.7,0.05233,0.01576,1.67,237.1,221.6,195.6,1.07,cream_dealt
9,698.0,1393 (x1.89),1.0,crit,1393,1.89,0.57396,0.65925,0.04394,0.01513,1.89,178.9,169.1,136.1,1.058,cream_dealt
9,698.0,"(20,005/20,005)",1.0,health_readout,,,0.4593,0.62274,0.07994,0.0155,,235.2,234.4,232.6,1.003,neutral
9,698.0,1995 (x1.89),1.0,crit,1995,1.89,0.56977,0.38241,0.0625,0.01852,1.89,238.3,234.8,207.8,1.015,neutral
9,698.0,20005/20005,1.0,health_readout,,,0.30233,0.05426,0.05378,0.0155,,232.7,228.9,224.9,1.017,neutral
9,698.0,100,1.0,hud,100,,0.48983,0.05685,0.0189,0.0155,,245.0,203.9,97.5,1.201,cream_dealt
9,698.0,1479/2576,1.0,health_readout,,,0.64826,0.05168,0.04506,0.02067,,221.0,234.7,230.8,0.942,neutral
9,698.0,Crucible of the Dead,1.0,other,,,0.89244,0.9713,0.09738,0.01852,,220.9,205.9,194.3,1.073,cream_dealt
9,698.0,Objectives,1.0,other,,,0.87355,0.68217,0.05523,0.01809,,229.0,171.5,97.2,1.335,cream_dealt
9,698.0,O Eliminate all Enemies,0.5,other,,,0.87936,0.66111,0.08576,0.01589,,217.7,219.4,222.2,0.992,neutral
9,698.0,PM,0.3,other,,,0.06395,0.93798,0.02035,0.0155,,218.3,207.1,186.8,1.054,cream_dealt
9,698.0,Plant -,0.3,other,,,0.45778,0.90122,0.04228,0.01667,,233.7,232.9,233.1,1.003,neutral
9,698.0,30,0.3,bare,30,,0.47674,0.87339,0.01163,0.01034,,224.9,214.2,215.4,1.05,cream_dealt
9,698.0,x2,0.3,other,,,0.82122,0.90439,0.0218,0.02584,,219.2,193.9,142.4,1.13,cream_dealt
9,698.0,75436(10999),0.3,other,,,0.39382,0.67375,0.07864,0.02977,,225.8,219.9,197.5,1.027,cream_dealt
9,698.0,15400 (x1.67),0.3,crit,15400,1.67,0.46945,0.5475,0.05384,0.01869,1.67,251.1,220.2,206.5,1.14,cream_dealt
10,700.0,"(33,346/43,548)",1.0,health_readout,,,0.18169,0.95866,0.07994,0.0155,,228.8,235.5,223.7,0.971,neutral
10,700.0,"(22,358/42,798)",1.0,health_readout,,,0.12936,0.92506,0.07994,0.01809,,223.6,230.9,222.9,0.968,neutral
10,700.0,"(242,124/242,124)",1.0,health_readout,,,0.05378,0.16796,0.09012,0.0155,,223.8,229.0,234.2,0.977,neutral
10,700.0,"(237,258/237,258)",1.0,health_readout,,,0.14826,0.13953,0.08866,0.0155,,226.8,233.7,242.3,0.97,neutral
10,700.0,(91.696/91.696),1.0,other,,,0.1032,0.12403,0.0814,0.01292,,234.4,239.2,242.6,0.98,neutral
10,700.0,20005/20005,1.0,health_readout,,,0.30233,0.05426,0.05378,0.0155,,233.6,228.2,224.7,1.023,cream_dealt
10,700.0,"(343,347/369,770)",1.0,health_readout,,,0.1468,0.03618,0.09157,0.0155,,237.2,231.6,230.2,1.024,cream_dealt
10,700.0,Crucible of the Dead,1.0,other,,,0.89097,0.95845,0.09888,0.03143,,200.8,196.3,172.3,1.023,cream_dealt
10,700.0,(443,1.0,other,,,0.86047,0.93282,0.02326,0.01809,,227.0,234.5,226.8,0.968,neutral
10,700.0,125,1.0,hud,125,,0.72093,0.88889,0.01308,0.01292,,189.5,179.5,155.4,1.056,cream_dealt
10,700.0,03:02,1.0,other,,,0.77471,0.88889,0.02326,0.01292,,191.2,183.0,162.2,1.045,cream_dealt
10,700.0,152,1.0,hud,152,,0.82558,0.85013,0.0189,0.01809,,192.8,84.8,42.5,2.274,red_taken
10,700.0,Objectives,1.0,other,,,0.87353,0.68202,0.05526,0.0184,,228.3,172.1,99.4,1.327,cream_dealt
10,700.0,"(20,005/20,005)",1.0,health_readout,,,0.46076,0.61757,0.07849,0.01292,,241.3,242.9,243.6,0.993,neutral
10,700.0,00,1.0,hud,0,,0.49419,0.05685,0.01453,0.0155,,246.1,205.5,98.0,1.198,cream_dealt
10,700.0,1356/2576,1.0,health_readout,,,0.64963,0.05349,0.04522,0.01704,,230.3,236.5,235.8,0.974,neutral
10,700.0,"(195.447/242,124)",0.5,other,,,0.1032,0.24806,0.09012,0.0155,,227.7,230.7,233.9,0.987,neutral
10,700.0,O Eliminate all Enemies,0.5,other,,,0.87936,0.66111,0.08576,0.01589,,217.1,221.1,224.6,0.982,neutral
10,700.0,"Gladiấtor7 98/42,798)",0.3,other,,,0.00581,0.97407,0.10029,0.02076,,224.3,223.1,215.0,1.005,neutral
10,700.0,"(9:49:0,6,5RM",0.3,other,,,0.00291,0.93023,0.0814,0.02326,,213.2,208.6,193.9,1.022,cream_dealt
10,700.0,"(42,798/42,798)74",0.3,other,,,0.15262,0.97158,0.09738,0.02326,,198.6,199.9,186.1,0.994,neutral
10,700.0,7,0.3,bare,7,,0.28052,0.97158,0.00872,0.01809,,140.3,134.2,126.3,1.045,cream_dealt
10,700.0,599),0.3,other,,,-2e-05,0.00244,0.02766,0.01321,,229.2,235.0,237.5,0.976,neutral
10,700.0,x2,0.3,other,,,0.82122,0.90439,0.0218,0.02584,,214.6,192.9,140.4,1.112,cream_dealt
11,702.0,Gladiator,1.0,other,,,0.00576,0.97362,0.04372,0.01658,,214.2,212.3,196.3,1.009,neutral
11,702.0,9:49:08,1.0,other,,,0.00872,0.93798,0.04651,0.0155,,214.7,208.1,193.2,1.032,cream_dealt
11,702.0,Iceskorn,1.0,other,,,0.47233,0.96335,0.05534,0.02162,,206.1,160.3,109.9,1.286,cream_dealt
11,702.0,Beast,1.0,other,,,0.48692,0.90181,0.02762,0.0155,,227.1,230.7,230.7,0.985,neutral
11,702.0,Crucible of the Dead,1.0,other,,,0.89244,0.9713,0.09738,0.01852,,217.4,208.1,194.0,1.045,cream_dealt
11,702.0,125,1.0,hud,125,,0.71802,0.88889,0.0189,0.01292,,183.2,173.3,148.9,1.057,cream_dealt
11,702.0,03:00,1.0,other,,,0.77471,0.88889,0.02326,0.01292,,194.8,186.8,166.9,1.043,cream_dealt
11,702.0,152,1.0,hud,152,,0.82558,0.85013,0.0189,0.01809,,192.8,84.8,42.5,2.274,red_taken
11,702.0,"(42,798/42,798)",1.0,health_readout,,,0.40988,0.80103,0.07994,0.0155,,231.7,233.7,233.8,0.991,neutral
11,702.0,"(42,798/42,798)",1.0,health_readout,,,0.35029,0.75194,0.07849,0.0155,,234.3,237.7,235.3,0.986,neutral
11,702.0,"(238,378/443,554)",1.0,health_readout,,,0.52471,0.66408,0.09157,0.01809,,227.0,227.4,230.0,0.998,neutral
11,702.0,Objectives,1.0,other,,,0.87351,0.68184,0.0553,0.01876,,232.1,171.7,94.2,1.352,cream_dealt
11,702.0,"(5,459/42,798)",1.0,health_readout,,,0.30669,0.63824,0.07413,0.01292,,233.6,239.4,227.4,0.976,neutral
11,702.0,"(10,301/453,883)",1.0,health_readout,,,0.33576,0.62274,0.08576,0.0155,,232.1,235.4,224.8,0.986,neutral
11,702.0,"(20,005/20,005)",1.0,health_readout,,,0.46221,0.62274,0.07994,0.01292,,245.4,241.4,239.5,1.017,neutral
11,702.0,"(208,5250443,554)",1.0,other,,,0.3968,0.56589,0.09302,0.01809,,237.4,225.5,208.7,1.053,cream_dealt
11,702.0,"(443,554/443,554)",1.0,health_readout,,,0.79784,0.54504,0.09182,0.01853,,219.4,222.7,220.6,0.985,neutral
11,702.0,"(443,554/443,554)",1.0,health_readout,,,0.86483,0.44961,0.09157,0.0155,,228.3,234.5,231.7,0.973,neutral
11,702.0,20005/20005,1.0,health_readout,,,0.30233,0.05426,0.05378,0.0155,,229.8,229.6,225.5,1.001,neutral
11,702.0,100,1.0,hud,100,,0.48983,0.05685,0.0189,0.0155,,245.8,204.6,97.9,1.201,cream_dealt
11,702.0,1438/2576,1.0,health_readout,,,0.64813,0.05066,0.0453,0.02013,,228.8,236.0,234.3,0.969,neutral
11,702.0,O Eliminate all Enemies,0.5,other,,,0.87936,0.66111,0.08576,0.01589,,217.4,217.6,213.3,0.999,neutral
11,702.0,PM,0.3,other,,,0.06395,0.93798,0.02035,0.01809,,214.3,207.2,187.9,1.034,cream_dealt
11,702.0,XG ĐẢU QUAG2,0.3,other,,,0.46657,0.94057,0.07122,0.02332,,182.6,145.1,129.6,1.258,cream_dealt
11,702.0,x2,0.3,other,,,0.82122,0.90439,0.0218,0.02584,,214.6,192.9,140.4,1.112,cream_dealt
11,702.0,(130?28413373%),0.3,other,,,0.35742,0.69897,0.08749,0.03358,,220.3,224.4,220.0,0.982,neutral
11,702.0,"(37,99261274142.798)",0.3,other,,,0.24709,0.58915,0.1061,0.02326,,222.5,225.8,218.8,0.985,neutral
11,702.0,51795 (X1079),0.3,other,,,0.49128,0.59432,0.08721,0.02328,,222.1,221.1,196.5,1.005,neutral
11,702.0,64233-81979),0.3,other,,,0.29356,0.46743,0.0713,0.03414,,222.8,216.6,184.3,1.028,cream_dealt
11,702.0,23229015-67),0.3,other,,,0.45921,0.40754,0.06124,0.02729,,212.4,216.8,211.2,0.98,neutral
12,704.0,Gladiator,1.0,other,,,0.00574,0.97347,0.0452,0.01689,,213.9,210.5,192.7,1.016,neutral
