t_s,fire_red,chaos_magenta,vit_green,frost_blue,light_yellow,aether_teal,green_r0_60,sat_r0_60,green_r60_120,sat_r60_120,green_r120_200,sat_r120_200,green_r200_300,sat_r200_300,green_r300_450,sat_r300_450,green_r450_650,sat_r450_650
843.3667,0.02446904,0.00159578,0.00725887,0.01112799,0.00335021,0.00225646,0.0,0.22699588,0.0,0.21559482,0.0,0.2518642,0.00011856,0.14021151,0.01077014,0.04921384,0.02846126,0.08410933
843.4667,0.02128376,0.00317949,0.00739198,0.01054784,0.00337915,0.00205922,0.0,0.35341564,0.0,0.243964,0.0,0.23972952,0.0,0.14323485,0.01263015,0.05055221,0.02746971,0.08097571
843.5667,0.02665654,0.00166426,0.00865258,0.01086564,0.00408275,0.00187404,0.0,0.37695473,0.0,0.31870061,0.0,0.25846417,4.742e-05,0.1289244,0.0100588,0.04603655,0.03493329,0.0954933
843.6667,0.02329331,0.00175733,0.01373312,0.01087625,0.00856771,0.00159578,0.0,0.36049383,0.0,0.40117428,0.0,0.31214395,0.00433937,0.13058427,0.05147431,0.09610399,0.04217322,0.09551485
843.7667,0.02884838,0.00172405,0.01113619,0.0097338,0.00544657,0.00158951,0.00032922,0.29037037,0.00021949,0.27024802,0.00263999,0.25753786,0.00202741,0.13571801,0.0236374,0.08393226,0.0415077,0.094138
843.8667,0.02842062,0.00148872,0.01097849,0.00906395,0.00375916,0.00158806,0.00592593,0.17069959,0.05734197,0.14859526,0.01521467,0.15279515,0.00539457,0.08206867,0.02963896,0.08130295,0.03440787,0.08715404
843.9667,0.03957899,0.00249855,0.01205826,0.00884404,0.00693818,0.00164786,0.00049383,0.38831276,0.00038411,0.32237709,0.00944838,0.27416516,0.04467419,0.1226169,0.03984003,0.09117207,0.02964412,0.07313761
844.0667,0.05361256,0.00199894,0.00945939,0.0086304,0.00406009,0.00162375,0.00460905,0.31028807,0.04779412,0.24967076,0.01690519,0.14635728,0.02601252,0.09362847,0.02312102,0.07642899,0.02390768,0.06718292
844.1667,0.06727382,0.00184269,0.00954234,0.00887249,0.00487847,0.00180411,0.00641975,0.26271605,0.0,0.30959175,0.0,0.13813626,0.0099355,0.07414872,0.02771572,0.0894754,0.02833732,0.06769217
844.2667,0.06292776,0.0017337,0.00915316,0.00917342,0.00618779,0.00176698,0.00246914,0.30090535,0.0,0.24967076,0.0,0.11678477,0.00825192,0.07780044,0.02254142,0.07981179,0.03016953,0.07227809
