id,canonical_name,source_library,cultural_lineage_canonical,historical_period_canonical,named_mythological_match,cultural_lineage_tags
1647,"Hyūga Masamune",wikidata,east_asian,unknown,"Masamune (east_asian, tier_2)",
1728,"Hōchō Masamune",wikidata,east_asian,unknown,"Masamune (east_asian, tier_2)",
1734,"Hōchō Masamune",wikidata,east_asian,unknown,"Masamune (east_asian, tier_2)",
1736,"Hōchō Masamune",wikidata,east_asian,unknown,"Masamune (east_asian, tier_2)",
1738,"Kuki Masamune",wikidata,east_asian,unknown,"Masamune (east_asian, tier_2)",
3149,"Ishida Masamune",wikidata,unknown,unknown,"Masamune (east_asian, tier_2)",
4254,"Tsugaru Masamune",wikidata,east_asian,unknown,"Masamune (east_asian, tier_2)",
4255,"Nakatsukasa Masamune",wikidata,east_asian,unknown,"Masamune (east_asian, tier_2)",
4256,"Kanze Masamune",wikidata,east_asian,unknown,"Masamune (east_asian, tier_2)",
4257,"Tarosaku Masamune",wikidata,east_asian,unknown,"Masamune (east_asian, tier_2)",
209510,Print,royal_armouries,unknown,unknown,"Maximilian I (european_medieval, tier_2)",[]
174611,"Grand Slam (bomb)",wikipedia,european,unknown,"Merlin (european_medieval, tier_1)","[""World War II aerial bombs of the United Kingdom"", ""Anti-fortification weapons"", ""History of the Royal Air Force during World War II"", ""Barnes Wallis"", ""Weapons and ammunition introduced in 1944""]"
189638,"MGD PM-9",wikipedia,european,unknown,"Merlin (european_medieval, tier_1)","[""Trial and research firearms of France"", ""Delayed blowback firearms"", ""Submachine guns of France"", ""9mm Parabellum submachine guns""]"
175736,"46 cm/45 Type 94 naval gun",wikipedia,east_asian,unknown,"Miyamoto Musashi (east_asian, tier_2)","[""460 mm artillery"", ""Naval guns of Japan"", ""World War II naval weapons"", ""Weapons and ammunition introduced in 1940""]"
13367,"Narmer Macehead",wikidata,unknown,unknown,"Narmer (egyptian, tier_2)","[""Decorative maceheads"", ""Individual weapons""]"
107,"Mace-AO 2152",wikidata,unknown,contemporary,"Ninurta (mesopotamian, tier_1)",
3164,"Wakisashi by Norimitsu",wikidata,unknown,early_modern,"Norimitsu (east_asian, tier_2)",
387,Gungnir,wikidata,european,unknown,"Odin (norse, tier_1)","[""Mythological Norse weapons"", ""Spears""]"
174194,"M3 Lee",wikipedia,east_asian,unknown,"Odysseus (greek, tier_1)","[""Medium tanks of the United States"", ""Military vehicles introduced from 1940 to 1944"", ""Medium tanks of World War II"", ""World War II tanks of the United States"", ""Multi-turreted tanks"", ""Tanks named after individuals""]"
174108,Cutlass,wikipedia,east_asian,unknown,"Oisín (celtic, tier_1)","[""18th-century weapons"", ""19th-century weapons"", ""American Civil War weapons"", ""Early Modern European swords"", ""Modern European swords"", ""Piracy"", ""Single-edged swords"", ""Victorian-era weapons of the United Kingdom"", ""Naval weapons""]"
201336,Sword,royal_armouries,unknown,unknown,"Paris of Troy (greek, tier_1)","[""place:Britain""]"
660,"trident of Poseidon",wikidata,unknown,unknown,"Poseidon (greek, tier_1)","[""Mythological weapons""]"
173952,"Trident (missile)",wikipedia,european,unknown,"Poseidon (greek, tier_1)","[""Cold War submarine-launched ballistic missiles of the United States"", ""Cold War weapons of the United States"", ""MIRV capable missiles"", ""Nuclear weapons of the United Kingdom"", ""Nuclear weapons of the United States"", ""Submarine-launched ballistic missiles of the United States"", ""Trident (UK nuclear programme)""]"
176461,W68,wikipedia,european,unknown,"Poseidon (greek, tier_1)","[""Nuclear warheads of the United States"", ""Military equipment introduced in the 1970s""]"
188301,"Harpoon (missile)",wikipedia,east_asian,unknown,"Poseidon (greek, tier_1)","[""Anti-ship cruise missiles"", ""Naval cruise missiles"", ""Surface-to-surface missiles of the United States"", ""Cold War anti-ship missiles of the United States"", ""Anti-ship missiles of the United States"", ""Air-to-surface missiles of the United States"", ""Military equipment introduced in the 1970s"", ""Fire-and-forget weapons""]"
194198,"Tai'e",wikipedia,east_asian,unknown,"Qin Shi Huang (east_asian, tier_2)","[""Ancient Chinese swords"", ""Qin Shi Huang""]"
77,Q88199410,wikidata,unknown,classical,"Raymond of Toulouse (european_medieval, tier_2)",
1006,"Musée Saint-Raymond, D 78 6 6",wikidata,unknown,classical,"Raymond of Toulouse (european_medieval, tier_2)",
1530,"Musée Saint-Raymond, Niel 2463 n°6",wikidata,unknown,unknown,"Raymond of Toulouse (european_medieval, tier_2)",
1729,"Terasawa Sadamune",wikidata,east_asian,unknown,"Sadamune (east_asian, tier_2)",
1730,"Tokuzen-in Sadamune",wikidata,east_asian,unknown,"Sadamune (east_asian, tier_2)",
1737,"Fushimi Sadamune",wikidata,east_asian,unknown,"Sadamune (east_asian, tier_2)",
46,"Shield Depicting Saint George Slaying the Dragon",wikidata,unknown,industrial,"Saint George (european_medieval, tier_2)",
5105,Ascalon,wikidata,unknown,unknown,"Saint George (european_medieval, tier_2)",
174631,"Combat Vehicle Reconnaissance (Tracked)",wikipedia,european,unknown,"Saladin (egyptian, tier_2)","[""Armoured fighting vehicles of the United Kingdom"", ""Reconnaissance vehicles of the Cold War"", ""Military vehicles introduced in the 1970s"", ""History of the tank"", ""Tracked reconnaissance vehicles"", ""Airborne fighting vehicles"", ""Alvis vehicles""]"
210962,Sword,royal_armouries,unknown,unknown,"Saladin (egyptian, tier_2)","[""place:London/England/Britain/Europe""]"
174104,Katar,wikipedia,south_asian,unknown,"Shivaji Bhonsle (vedic_hindu, tier_2)","[""Indian martial arts"", ""Weapons of India"", ""Daggers""]"
182089,Bichuwa,wikipedia,south_asian,unknown,"Shivaji Bhonsle (vedic_hindu, tier_2)","[""Weapons of India"", ""Indian martial arts"", ""Daggers"", ""Edged and bladed weapons""]"
634,mace,wikidata,unknown,contemporary,"Shulgi (mesopotamian, tier_2)",
176853,Vel,wikipedia,south_asian,unknown,"Skanda (vedic_hindu, tier_1)","[""Weapons in Hindu mythology"", ""Indian martial arts"", ""Weapons of India"", ""Kartikeya"", ""Hindu mythology"", ""Tamil mythology""]"
388,"Ruyi Jingu Bang",wikidata,east_asian,unknown,"Sun Wukong (east_asian, tier_1)","[""Fantasy weapons""]"
182653,"Surya missile",wikipedia,south_asian,unknown,"Surya (vedic_hindu, tier_1)","[""Ballistic missiles of India"", ""Defence Research and Development Organisation"", ""MIRV capable missiles""]"
173945,"Katyusha rocket launcher",wikipedia,european,unknown,"Suvorov (slavic, tier_2)","[""Multiple rocket launchers of the Soviet Union"", ""Self-propelled artillery of the Soviet Union"", ""World War II self-propelled artillery"", ""Wheeled self-propelled rocket launchers"", ""World War II artillery of the Soviet Union"", ""Soviet inventions"", ""Military vehicles introduced from 1940 to 1944""]"
