t_s,hp_cur,hp_max,hp_frac
680.1500,20005,20005,1.000000
680.1667,20005,20005,1.000000
680.1833,20005,20005,1.000000
680.2000,20005,20005,1.000000
680.2167,20005,20005,1.000000
680.2333,20005,20005,1.000000
680.2500,20005,20005,1.000000
680.2667,20005,20005,1.000000
680.2833,20005,20005,1.000000
680.3000,20005,20005,1.000000
680.3167,20005,20005,1.000000
680.3333,20005,20005,1.000000
680.3500,20005,20005,1.000000
680.3667,20005,20005,1.000000
680.3833,20005,20005,1.000000
680.4000,20005,20005,1.000000
680.4167,20005,20005,1.000000
680.4333,20005,20005,1.000000
680.4500,20005,20005,1.000000
680.4667,20005,20005,1.000000
680.4833,20005,20005,1.000000
680.5000,20005,20005,1.000000
680.5167,20005,20005,1.000000
680.5333,20005,20005,1.000000
680.5500,20005,20005,1.000000
680.5667,20005,20005,1.000000
680.5833,20005,20005,1.000000
680.6000,20005,20005,1.000000
680.6167,20005,20005,1.000000
680.6333,20005,20005,1.000000
680.6500,20005,20005,1.000000
680.6667,20005,20005,1.000000
680.6833,20005,20005,1.000000
680.7000,20005,20005,1.000000
680.7167,20005,20005,1.000000
680.7333,20005,20005,1.000000
680.7500,20005,20005,1.000000
680.7667,20005,20005,1.000000
680.7833,20005,20005,1.000000
680.8000,20005,20005,1.000000
680.8167,20005,20005,1.000000
680.8333,20005,20005,1.000000
680.8500,20005,20005,1.000000
680.8667,20005,20005,1.000000
680.8833,20005,20005,1.000000
680.9000,20005,20005,1.000000
680.9167,20005,20005,1.000000
680.9333,20005,20005,1.000000
680.9500,20005,20005,1.000000
680.9667,20005,20005,1.000000
680.9833,20005,20005,1.000000
681.0000,20005,20005,1.000000
681.0167,20005,20005,1.000000
681.0333,20005,20005,1.000000
681.0500,20005,20005,1.000000
681.0667,20005,20005,1.000000
681.0833,20005,20005,1.000000
681.1000,20005,20005,1.000000
681.1167,20005,20005,1.000000
681.1333,20005,20005,1.000000
681.1500,20005,20005,1.000000
681.1667,20005,20005,1.000000
681.1833,20005,20005,1.000000
681.2000,20005,20005,1.000000
681.2167,20005,20005,1.000000
681.2333,20005,20005,1.000000
681.2500,20005,20005,1.000000
681.2667,20005,20005,1.000000
681.2833,20005,20005,1.000000
681.3000,20005,20005,1.000000
681.3167,20005,20005,1.000000
681.3333,20005,20005,1.000000
681.3500,20005,20005,1.000000
681.3667,20005,20005,1.000000
681.3833,20005,20005,1.000000
681.4000,20005,20005,1.000000
681.4167,20005,20005,1.000000
681.4333,20005,20005,1.000000
681.4500,20005,20005,1.000000
681.4667,20005,20005,1.000000
681.4833,20005,20005,1.000000
681.5000,20005,20005,1.000000
681.5167,20005,20005,1.000000
681.5333,20005,20005,1.000000
681.5500,20005,20005,1.000000
681.5667,20005,20005,1.000000
681.5833,20005,20005,1.000000
681.6000,20005,20005,1.000000
681.6167,20005,20005,1.000000
681.6333,20005,20005,1.000000
681.6500,20005,20005,1.000000
681.6667,20005,20005,1.000000
681.6833,20005,20005,1.000000
681.7000,20005,20005,1.000000
681.7167,20005,20005,1.000000
681.7333,20005,20005,1.000000
681.7500,20005,20005,1.000000
681.7667,20005,20005,1.000000
681.7833,20005,20005,1.000000
681.8000,20005,20005,1.000000
681.8167,20005,20005,1.000000
681.8333,20005,20005,1.000000
681.8500,20005,20005,1.000000
681.8667,20005,20005,1.000000
681.8833,20005,20005,1.000000
681.9000,20005,20005,1.000000
681.9167,20005,20005,1.000000
681.9333,20005,20005,1.000000
681.9500,20005,20005,1.000000
681.9667,20005,20005,1.000000
681.9833,20005,20005,1.000000
682.0000,20005,20005,1.000000
682.0167,20005,20005,1.000000
682.0333,20005,20005,1.000000
682.0500,20005,20005,1.000000
682.0667,20005,20005,1.000000
682.0833,20005,20005,1.000000
682.1000,20005,20005,1.000000
682.1167,20005,20005,1.000000
682.1333,20005,20005,1.000000
682.1500,20005,20005,1.000000
682.1667,20005,20005,1.000000
682.1833,20005,20005,1.000000
682.2000,20005,20005,1.000000
682.2167,20005,20005,1.000000
682.2333,20005,20005,1.000000
682.2500,20005,20005,1.000000
682.2667,20005,20005,1.000000
682.2833,20005,20005,1.000000
682.3000,20005,20005,1.000000
682.3167,20005,20005,1.000000
682.3333,20005,20005,1.000000
682.3500,20005,20005,1.000000
682.3667,20005,20005,1.000000
682.3833,20005,20005,1.000000
682.4000,20005,20005,1.000000
682.4167,20005,20005,1.000000
682.4333,20005,20005,1.000000
682.4500,20005,20005,1.000000
682.4667,20005,20005,1.000000
682.4833,20005,20005,1.000000
682.5000,20005,20005,1.000000
682.5167,20005,20005,1.000000
682.5333,20005,20005,1.000000
682.5500,20005,20005,1.000000
682.5667,20005,20005,1.000000
682.5833,20005,20005,1.000000
682.6000,20005,20005,1.000000
682.6167,20005,20005,1.000000
682.6333,20005,20005,1.000000
682.6500,20005,20005,1.000000
682.6667,20005,20005,1.000000
682.6833,20005,20005,1.000000
682.7000,20005,20005,1.000000
682.7167,20005,20005,1.000000
682.7333,20005,20005,1.000000
682.7500,20005,20005,1.000000
682.7667,20005,20005,1.000000
682.7833,20005,20005,1.000000
682.8000,20005,20005,1.000000
682.8167,20005,20005,1.000000
682.8333,20005,20005,1.000000
682.8500,20005,20005,1.000000
682.8667,20005,20005,1.000000
682.8833,20005,20005,1.000000
682.9000,20005,20005,1.000000
682.9167,20005,20005,1.000000
682.9333,20005,20005,1.000000
682.9500,20005,20005,1.000000
682.9667,20005,20005,1.000000
682.9833,20005,20005,1.000000
683.0000,20005,20005,1.000000
683.0167,20005,20005,1.000000
683.0333,20005,20005,1.000000
683.0500,20005,20005,1.000000
683.0667,20005,20005,1.000000
683.0833,20005,20005,1.000000
683.1000,20005,20005,1.000000
683.1167,20005,20005,1.000000
683.1333,20005,20005,1.000000
683.1500,20005,20005,1.000000
683.1667,20005,20005,1.000000
683.1833,20005,20005,1.000000
683.2000,20005,20005,1.000000
683.2167,20005,20005,1.000000
683.2333,20005,20005,1.000000
683.2500,20005,20005,1.000000
683.2667,20005,20005,1.000000
683.2833,20005,20005,1.000000
683.3000,20005,20005,1.000000
683.3167,20005,20005,1.000000
683.3333,20005,20005,1.000000
683.3500,20005,20005,1.000000
683.3667,20005,20005,1.000000
683.3833,20005,20005,1.000000
683.4000,20005,20005,1.000000
683.4167,20005,20005,1.000000
683.4333,20005,20005,1.000000
683.4500,20005,20005,1.000000
683.4667,20005,20005,1.000000
683.4833,20005,20005,1.000000
683.5000,20005,20005,1.000000
683.5167,20005,20005,1.000000
683.5333,20005,20005,1.000000
683.5500,20005,20005,1.000000
683.5667,20005,20005,1.000000
683.5833,20005,20005,1.000000
683.6000,20005,20005,1.000000
683.6167,20005,20005,1.000000
683.6333,20005,20005,1.000000
683.6500,20005,20005,1.000000
683.6667,20005,20005,1.000000
683.6833,20005,20005,1.000000
683.7000,20005,20005,1.000000
683.7167,20005,20005,1.000000
683.7333,20005,20005,1.000000
683.7500,20005,20005,1.000000
683.7667,20005,20005,1.000000
683.7833,20005,20005,1.000000
683.8000,20005,20005,1.000000
683.8167,20005,20005,1.000000
683.8333,20005,20005,1.000000
683.8500,20005,20005,1.000000
683.8667,20005,20005,1.000000
683.8833,20005,20005,1.000000
683.9000,20005,20005,1.000000
683.9167,20005,20005,1.000000
683.9333,20005,20005,1.000000
683.9500,20005,20005,1.000000
683.9667,20005,20005,1.000000
683.9833,20005,20005,1.000000
684.0000,20005,20005,1.000000
684.0167,20005,20005,1.000000
684.0333,20005,20005,1.000000
684.0500,20005,20005,1.000000
684.0667,20005,20005,1.000000
684.0833,20005,20005,1.000000
684.1000,20005,20005,1.000000
684.1167,20005,20005,1.000000
684.1333,20005,20005,1.000000
684.1500,20005,20005,1.000000
684.1667,20005,20005,1.000000
684.1833,20005,20005,1.000000
684.2000,20005,20005,1.000000
684.2167,20005,20005,1.000000
684.2333,20005,20005,1.000000
684.2500,20005,20005,1.000000
684.2667,20005,20005,1.000000
684.2833,20005,20005,1.000000
684.3000,20005,20005,1.000000
684.3167,20005,20005,1.000000
684.3333,20005,20005,1.000000
684.3500,20005,20005,1.000000
684.3667,20005,20005,1.000000
684.3833,20005,20005,1.000000
684.4000,20005,20005,1.000000
684.4167,20005,20005,1.000000
684.4333,20005,20005,1.000000
684.4500,20005,20005,1.000000
684.4667,20005,20005,1.000000
684.4833,20005,20005,1.000000
684.5000,20005,20005,1.000000
684.5167,20005,20005,1.000000
684.5333,20005,20005,1.000000
684.5500,20005,20005,1.000000
684.5667,20005,20005,1.000000
684.5833,20005,20005,1.000000
684.6000,20005,20005,1.000000
684.6167,20005,20005,1.000000
684.6333,20005,20005,1.000000
684.6500,20005,20005,1.000000
684.6667,20005,20005,1.000000
684.6833,20005,20005,1.000000
684.7000,20005,20005,1.000000
684.7167,20005,20005,1.000000
684.7333,20005,20005,1.000000
684.7500,20005,20005,1.000000
684.7667,20005,20005,1.000000
684.7833,20005,20005,1.000000
684.8000,20005,20005,1.000000
684.8167,20005,20005,1.000000
684.8333,20005,20005,1.000000
684.8500,20005,20005,1.000000
684.8667,20005,20005,1.000000
684.8833,20005,20005,1.000000
684.9000,20005,20005,1.000000
684.9167,20005,20005,1.000000
684.9333,20005,20005,1.000000
684.9500,20005,20005,1.000000
684.9667,20005,20005,1.000000
684.9833,20005,20005,1.000000
685.0000,20005,20005,1.000000
685.0167,20005,20005,1.000000
