mask,t_sec,wave,n_green_total,n_green_player_gated,n_green_offcentre
green_mask2,718.5,153,1,1,0
green_mask2,719.0,153,1,1,0
green_mask2,719.5,153,2,1,1
green_mask2,720.0,153,4,1,3
green_mask2,720.5,153,1,1,0
green_mask2,721.0,153,1,1,0
green_mask2,721.5,153,3,0,3
green_mask2,722.0,153,0,0,0
green_mask2,722.5,153,0,0,0
green_mask2,723.0,153,1,1,0
green_mask2,723.5,153,1,1,0
green_mask2,724.0,153,1,1,0
green_mask2,724.5,153,1,1,0
green_mask2,725.0,153,1,1,0
green_mask2,725.5,153,1,1,0
green_mask2,726.0,153,1,1,0
green_mask2,726.5,153,1,1,0
green_mask2,727.0,153,1,1,0
green_mask2,727.5,153,1,1,0
green_mask2,728.0,153,1,1,0
green_mask2,728.5,153,2,1,1
green_mask2,729.0,153,1,1,0
green_mask2,729.5,153,1,1,0
green_mask2,730.0,154,1,1,0
green_mask2,730.5,154,5,1,4
green_mask2,731.0,154,1,1,0
green_mask2,731.5,154,1,1,0
green_mask2,732.0,154,1,1,0
green_mask2,732.5,154,1,1,0
green_mask2,733.0,154,1,1,0
green_mask2,733.5,154,2,1,1
green_mask2,734.0,154,1,1,0
green_mask2,734.5,154,0,0,0
green_mask2,735.0,154,1,1,0
green_mask2,735.5,154,1,0,1
green_mask2,736.0,154,1,1,0
green_mask2,736.5,154,1,1,0
green_mask2,737.0,154,1,1,0
green_mask2,737.5,154,1,1,0
green_mask2,738.0,154,1,1,0
green_mask2,738.5,154,0,0,0
green_mask2,739.0,154,1,1,0
green_mask2,739.5,154,1,1,0
green_mask2,740.0,154,1,1,0
green_mask2,740.5,154,1,1,0
green_mask2,741.0,154,0,0,0
green_mask2,741.5,154,1,1,0
green_mask2,742.0,154,0,0,0
green_mask2,742.5,154,0,0,0
green_mask2,743.0,154,1,1,0
green_mask2,743.5,154,1,1,0
green_mask2,744.0,155,3,1,2
green_mask2,744.5,155,1,1,0
green_mask2,745.0,155,2,1,1
green_mask2,745.5,155,5,1,4
green_mask2,746.0,155,1,1,0
green_mask2,746.5,155,1,1,0
green_mask2,747.0,155,1,1,0
green_mask2,747.5,155,1,1,0
green_mask2,748.0,155,1,1,0
green_mask2,748.5,155,2,1,1
green_mask2,749.0,155,1,1,0
green_mask2,749.5,155,1,1,0
green_mask2,750.0,155,1,1,0
green_mask2,750.5,155,1,1,0
green_mask2,751.0,155,1,1,0
green_mask2,751.5,155,1,1,0
green_mask2,752.0,155,1,1,0
green_mask2,752.5,155,1,1,0
green_mask2,753.0,155,1,1,0
green_mask2,753.5,155,1,1,0
green_mask2,754.0,155,1,1,0
green_mask2,754.5,155,1,1,0
