kit_id,median_displacement,pct_of_diameter
hades1-aspect-guan-yu,0.17381394184595556,3.937367086647189
hades1-athena-dash,0.2156807505395299,4.885766235888793
hades1-beowulf-cast,0.18822901104145318,4.2639083203325505
hades1-merciful-end,0.20790018079141237,4.709514786112968
hades1-zeus-chain,0.19702040719307734,4.463057787201898
hades2-glorious-disaster,0.2089652698202954,4.7336420019285415
hades2-hail-storm,0.1740323246136174,3.942314061052986
hades2-hephaestus-blast,0.17934521573658496,4.062665756782043
hades2-medea-skull-cast,0.16950043839619838,3.839654289095741
hot-archer,0.16927353508513765,3.8345143007879354
hot-astronomer-orbs,0.1942044002645329,4.399267432536057
hot-cleric-radiant,0.13754814208942412,3.1158462994432763
hot-dragons-breath,0.2609510724414891,5.91126438388356
hot-exterminator-burn,0.17528417104990834,3.9706718492916124
hot-kugelblitz,0.2660299221005402,6.02631439237655
hot-landsknecht-grenades,0.24931404100361407,5.647653398003178
hot-meteor-strike,0.16279911299037597,3.687850712181397
hot-norseman-frost-avalanche,0.1312131925599897,2.9723421506513903
hot-phantom-needles,0.09380434125702436,2.12492808072532
hot-sage-ring-blades,0.1680568765628878,3.8069536162403126
hot-shieldmaiden-block,0.2052882785811189,4.650347968496779
hot-sorceress-splinters,0.16980456362405003,3.8465435676521382
hot-spirit-warrior,0.10867031885370815,2.461683638296717
hot-swordsman,0.09645602210266419,2.1849959945821276
hot-warlock,0.21234068721496785,4.810104552701704
le-bladestorm-bd,0.1675032188486889,3.794411735893987
le-bomb-lance-falconer,0.102555316051591,2.3231618919275463
le-chthonic-fissure-warlock,0.37077663610669387,8.399117516120173
le-detonating-arrow-mm,0.10092655024081629,2.2862658361388553
le-dive-bomb-falconer,0.43763955640560764,9.913747809329779
le-erasing-strike-vk,0.1635877831653225,3.705716275530779
le-explosive-trap-falconer,0.10931218915335635,2.4762237779707315
le-fire-aura-spellblade,0.12218354924922466,2.7677957259032566
le-flame-reave-spellblade,0.11923363122831308,2.700971914185446
le-frost-claw,0.1671178835062322,3.7856828233648896
le-frost-wall-rm,0.18132347627353385,4.1074788358956775
le-ghostflame-warlock,0.4132971215701095,9.362324254278665
le-hammer-throw-paladin,0.19178911398713452,4.344554510244201
le-harvest-lich,0.23962061057255318,5.428070356904042
le-healing-hands-paladin,0.1376732296633657,3.1186798793699233
le-judgement-paladin,0.0900186013489624,2.0391705888100837
le-lightning-blast,0.2737708916257029,6.201668787446462
le-low-life-ward,0.18893532607923375,4.279908311777575
le-manifest-armor,0.14634173398548161,3.3150455060042194
le-reaper-form-lich,0.23006311129407075,5.211566532814359
le-ring-of-shields,0.129883489519209,2.942220694730296
le-runic-invocation,0.12173894844855399,2.757724286635116
le-shadow-bladedancer,0.10160774486750741,2.3016967807124016
le-shield-throw-time-rot-vk,0.3147611412831178,7.130211447261366
le-shift-bladedancer,0.2547216084765197,5.770149775224244
le-skeleton-necro,0.09383827485346916,2.125696770649467
le-smite-paladin,0.1667821017201245,3.7780764361046097
le-squirrel-bm,0.10247433636874749,2.3213274778723276
le-storm-totem-shaman,0.08335278755173074,1.888171448164627
le-swarmblade-druid,0.09922871679157744,2.247805207085483
le-umbral-blades,0.2048635220107079,4.640726055994181
le-warpath-vk,0.22079894982641526,5.0017076224142984
le-werebear-druid,0.2146779823921593,4.863050760610669
le-wraithlord-necro,0.18536895738944847,4.1991201854116555
poe1-aegis-max-block,0.1971229749245871,4.465381230338332
poe1-animate-weapon,0.1422501425982945,3.2223596311611216
poe1-arc,0.2216293664866727,5.02051885925512
poe1-archmage,0.1390673067511744,3.1502595857127647
poe1-armageddon-brand,0.10113340554552228,2.290951681588293
poe1-aurabot,0.15905837260390104,3.603112584037156
poe1-aurastacker,0.15220953240561458,3.4479673885939817
poe1-autobomber,0.14771447714280883,3.346141939746402
poe1-ball-lightning,0.13929179189056212,3.155344795736078
poe1-bane,0.25785429376073343,5.841113771552103
poe1-baron-zombies,0.20256302319974093,4.588613387672097
poe1-blade-flurry,0.12411176015937171,2.811475042378661
poe1-bladefall-bladeblast,0.16626634701963575,3.7663931639751067
poe1-boneshatter,0.2013277306090584,4.56063058987534
poe1-caustic-arrow,0.21200457484272545,4.802490676750055
poe1-coc-ice-nova,0.1782253811532767,4.037298402564193
poe1-cold-dot-occ,0.27790418900964514,6.295299418603095
poe1-crackling-lance,0.20503641764162822,4.644642620795491
poe1-cwdt-loop,0.1718523683657161,3.892932015575734
poe1-cyclone,0.10518967334187419,2.382837379285302
poe1-dark-pact,0.2935281956200218,6.6492264323738075
poe1-deaths-oath,0.21455524442430074,4.860270405768038
poe1-detonate-dead,0.20887664497424765,4.7316344037567175
poe1-discharge,0.1284747318942986,2.9103084335705933
poe1-divine-ire,0.18477960994660292,4.18576983388395
poe1-ea-ballista,0.08124043861109098,1.8403208954065506
poe1-earthquake,0.13909313749551783,3.150844723599411
poe1-earthshatter,0.16397077232667706,3.7143920405611617
poe1-edc,0.33638266439460024,7.619998817354967
poe1-elemental-hit,0.09481315258121356,2.1477804506923954
poe1-facebreaker,0.07155669864239003,1.6209573701134836
poe1-fire-trap,0.08138354256029931,1.843562596121684
poe1-flameblast,0.1273543261258543,2.884928140427757
poe1-flicker,0.12887188336401426,2.9193050141018486
poe1-forbidden-rite,0.3294702958928656,7.463414529924055
poe1-freezing-pulse,0.14732007113571416,3.3372075515459043
poe1-frost-blades,0.2072621186504886,4.695060911779139
poe1-generals-cry,0.20976072769891208,4.751661325561713
poe1-glacial-cascade-mines,0.10595929263978862,2.4002713875166006
poe1-golementalist,0.22869340430333557,5.18053887665286
poe1-heavy-strike-stun,0.15298777373467448,3.4655967097057756
poe1-hexblast-mines,0.1970534287828425,4.4638058176493365
poe1-hoag,0.21397438293817028,4.847112284658179
poe1-ice-shot,0.10641989779996175,2.4107053698447434
poe1-icicle-mines,0.24438034195462124,5.53589145276093
poe1-incinerate,0.1449309757256443,3.2830879249235143
poe1-kinetic-fusillade,0.19845864777643774,4.495637919011015
poe1-lacerate-glad,0.1718834388341711,3.8936358477226958
poe1-lightning-arrow,0.18390789104975944,4.166022987015464
poe1-lightning-conduit,0.13952984428489978,3.1607373416527533
poe1-lightning-strike,0.16439037376726165,3.7238971750982506
poe1-low-life-shavs,0.0951502638544002,2.1554169545164625
poe1-minion-pact-bv,0.2888286112329319,6.542767832504712
poe1-mjolner,0.20214296824063024,4.579097979684565
poe1-molten-strike,0.1519378373231182,3.4418127426313854
poe1-pconc,0.2055819832841142,4.657001193309965
poe1-pizza-sticks,0.08229310871788588,1.8641667882479027
poe1-poets-pen-vd,0.3049849607525516,6.908753887267205
poe1-poison-bv,0.39162375078742606,8.871362390862274
poe1-righteous-fire,0.18654320949283607,4.225720247145496
poe1-scourge-arrow,0.31976935249042193,7.243661299219117
poe1-seismic-trap,0.07099438398542529,1.6082193860417888
poe1-siege-ballista,0.08065418849691833,1.8270407069500214
poe1-skeleton-mages,0.22507175042648742,5.098498387711138
poe1-soulrend,0.23824792490579536,5.396975225482452
poe1-spark,0.1520800792195957,3.4450349154650763
poe1-spectral-helix,0.0695471390426895,1.5754352805590726
poe1-spectral-throw,0.12672409537594412,2.870651668786095
poe1-spectres,0.2688287776550972,6.089716220928135
poe1-split-arrow-bleed,0.12344397554931527,2.796347871815232
poe1-srs,0.15005891650106,3.399249983139143
poe1-sst,0.20003832173394373,4.5314219083841465
poe1-storm-brand,0.13291715081373243,3.010941523486818
poe1-tectonic-slam,0.1629291613492704,3.690796667624012
poe1-tornado-shot,0.15317476249519485,3.469832522917459
