kit_id,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,leiden_cluster,lca_class,franchise_rollup,gateA_group
d2-frenzy-barb,-0.06959223049102363,0.07664537210434759,-0.09872202059977869,0.8936017481136694,0.058129921799888795,0.45352459157319036,0.1966972221873547,-0.6188055618527932,0.500483265321545,0.016287816339696132,0.11293402354392566,-0.16990921842654808,0.11536405658233034,-0.47210266649098703,18,2,Diablo,TRAP-MINE
d2-frost-bowazon,0.24007829677128187,0.3741309118722257,-0.0837682701885736,-0.330512563880322,-0.031644206469250355,-0.19800462256465703,-0.15698800090507553,0.4139470822314807,0.1343043703356095,-0.01751152237000688,-0.3656084503553661,0.3623899640711025,0.23389283545008546,-0.4189925879385953,68,0,Diablo,
d2-frozen-orb-sorc,0.2843239837455159,0.5306754855946428,-0.06605805890275308,-0.364258000129592,-0.06941366312240091,-0.23929999794962806,0.02233966495195342,0.13978828559178746,-0.027806747503604744,-0.43573581624563,-0.05994826666841167,0.6051997460863483,0.007980441934643862,0.24864058629342994,14,0,Diablo,
d2-fury-wolf,-0.1246315151734538,0.09552866988476652,-0.4812845339676448,0.27285337995710196,0.06596886427834499,0.31786760200770947,-0.00167837699959442,-0.3624269639364029,-0.103373227436709,0.06356423128808805,-0.04342081837720084,0.11187618095433796,0.10310242603468317,0.21467595139390622,11,2,Diablo,
d2-ghost-pvp,-0.5807908182164254,-0.030415030655660136,0.3021973277691526,-0.1350076169117232,-0.23096674320473365,0.04273356155776841,0.44528240843063277,0.19892138309596674,0.021997757695636305,-0.30487999186316445,-0.37964104666931003,-0.5048153305466988,0.2332411994612058,-0.140382855252909,27,2,Diablo,
d2-hammerdin,0.4204880872805702,0.13874158738943587,-0.24003104671225112,-0.07769574638234736,-0.1898654005617991,-0.35604482311815,0.06762378016864898,0.08207816783931472,-0.1320238701979848,-0.1446278111657367,-0.05436763473929854,0.07283475819068888,0.06766912734216957,-0.25629131450542797,78,0,Diablo,
d2-horker,-0.1420953707655255,0.20706255142180993,-0.0005143657279816698,0.5073507882299705,0.12714270535430675,0.6512774836916962,-0.41217518619412064,-0.5894971426898544,0.353330904434763,0.06569778899617595,0.3610504780566985,0.1428728127040712,-0.08177030470091258,-0.12053861255284401,46,2,Diablo,TRAP-MINE
d2-hydra-sorc,-0.6867502045729769,-0.27281713212059766,-0.1395430538503141,-0.6454416609199148,-0.16040898381578944,-0.2051582689963202,0.04182886357945863,-0.4081052226504202,-0.015214533540040527,-0.21086535426331338,-0.020758224309350846,0.061136912018443644,-0.20154367288420386,0.25119571568134025,6,2,Diablo,
d2-javazon,0.33747443729802895,0.7567920166773173,-0.18339807805299144,-0.20229934113018816,-0.22707834707701474,-0.20624715372541536,0.038171771409905936,0.2912164057192682,0.005331517822450408,-0.15717283455786,0.4070558002126206,0.005248680192140899,0.030150889890564487,-0.22542446566288812,80,0,Diablo,
d2-kicksin,-0.09652653948915418,0.28919810109138716,-0.3412401744233595,0.5664248202971817,0.01991387979703101,0.41574892548416653,-0.004218774015327639,-0.7010062990829448,0.2064069291314228,0.18357379704078294,-0.19422561052748116,0.0034772656593023235,0.08155189444716333,-0.09027169700536336,20,2,Diablo,
d2-lightning-sorc,0.31336047627637764,0.6693826124054814,-0.0902987196501459,-0.2586044838702105,-0.14338731553552764,-0.36416296915285956,0.04245346641434482,0.06643887634052222,0.1477528953331786,-0.4072830622283598,0.38000795473603405,-0.17685597505076273,-0.018347394853300038,0.28334576568405484,80,0,Diablo,
d2-maul-bear,-0.4542212196107392,0.15119974958627344,0.5467806515183823,0.5843397104735317,-0.257621721161678,0.9764664188897852,0.16305535320344672,0.29526298557024255,0.7870112918713124,-0.2206244711219074,0.70401364266986,-0.13540028163034235,0.17334419662812384,-0.678886400122089,46,2,Diablo,
d2-meteorb,-0.4914339068596257,0.3329947399029569,0.6516999570384084,-0.0938606909780529,-0.36402103012771597,0.3582867971922328,0.2484911933689321,0.8869334060832036,0.4712966534434431,-0.04860067949400703,0.42148338324710644,0.2666692383800682,-0.0005707808872031604,0.665013672919088,9,2,Diablo,
d2-mosaic-sin,-0.030554659562991075,0.24937122194950345,-0.2871789120850274,0.5945661360448623,-0.2227764494791988,-0.14731109523954783,0.47704830256101766,-0.002868337281813537,-0.10516440732747245,0.426742827111109,-0.3151576880742881,0.2742789043753282,-0.16655290694956407,-0.03120004572058618,43,2,Diablo,
d2-nova-sorc,0.5043939336212112,-0.23772717569735125,-0.06509647450625095,-0.1957193957707412,0.3974345484008267,0.052741160205044164,0.2577428445822201,0.16390862241622475,0.09657616603474554,-0.16507221857214444,0.05948116576904692,-0.14115309891876204,-0.26975975767835664,0.14587493595582102,7,1,Diablo,
d2-poison-javazon,-0.3309779158580794,0.33091722975680504,0.11864204849307418,-0.15638936366710335,-0.1883854757792874,0.28855766288349427,0.065415484413234,0.360486179948334,-0.15399928821526046,0.17419140303713113,-0.002174291796518505,0.11384332386553446,-0.028573181836842126,-0.19424601635763275,84,2,Diablo,
