frame,t_sec,wave,hp,health_max,deficit,delta_hp
259,687.3167,151,20005,20005,0,0
260,687.3333,151,20005,20005,0,0
261,687.35,151,20005,20005,0,0
262,687.3667,151,20005,20005,0,0
263,687.3833,151,20005,20005,0,0
264,687.4,151,20005,20005,0,0
265,687.4167,151,20005,20005,0,0
266,687.4333,151,20005,20005,0,0
267,687.45,151,20005,20005,0,0
268,687.4667,151,20005,20005,0,0
269,687.4833,151,20005,20005,0,0
270,687.5,151,20005,20005,0,0
271,687.5167,151,20005,20005,0,0
272,687.5333,151,20005,20005,0,0
273,687.55,151,20005,20005,0,0
274,687.5667,151,20005,20005,0,0
275,687.5833,151,20005,20005,0,0
276,687.6,151,20005,20005,0,0
277,687.6167,151,20005,20005,0,0
278,687.6333,151,20005,20005,0,0
279,687.65,151,20005,20005,0,0
280,687.6667,151,20005,20005,0,0
281,687.6833,151,20005,20005,0,0
282,687.7,151,20005,20005,0,0
283,687.7167,151,20005,20005,0,0
284,687.7333,151,20005,20005,0,0
285,687.75,151,20005,20005,0,0
286,687.7667,151,20005,20005,0,0
287,687.7833,151,20005,20005,0,0
288,687.8,151,20005,20005,0,0
289,687.8167,151,20005,20005,0,0
290,687.8333,151,20005,20005,0,0
291,687.85,151,20005,20005,0,0
292,687.8667,151,20005,20005,0,0
293,687.8833,151,20005,20005,0,0
294,687.9,151,20005,20005,0,0
295,687.9167,151,20005,20005,0,0
296,687.9333,151,20005,20005,0,0
297,687.95,151,20005,20005,0,0
298,687.9667,151,20005,20005,0,0
299,687.9833,151,20005,20005,0,0
300,688.0,151,20005,20005,0,0
301,688.0167,151,20005,20005,0,0
302,688.0333,151,20005,20005,0,0
303,688.05,151,20005,20005,0,0
304,688.0667,151,20005,20005,0,0
305,688.0833,151,20005,20005,0,0
306,688.1,151,20005,20005,0,0
307,688.1167,151,20005,20005,0,0
308,688.1333,151,20005,20005,0,0
309,688.15,151,20005,20005,0,0
310,688.1667,151,20005,20005,0,0
311,688.1833,151,20005,20005,0,0
312,688.2,151,20005,20005,0,0
313,688.2167,151,20005,20005,0,0
314,688.2333,151,20005,20005,0,0
315,688.25,151,20005,20005,0,0
316,688.2667,151,20005,20005,0,0
317,688.2833,151,20005,20005,0,0
318,688.3,151,19922,20005,83,-83
319,688.3167,151,19924,20005,81,2
320,688.3333,151,19926,20005,79,2
321,688.35,151,19928,20005,77,2
322,688.3667,151,20005,20005,0,77
323,688.3833,151,20005,20005,0,0
324,688.4,151,20005,20005,0,0
325,688.4167,151,20005,20005,0,0
326,688.4333,151,20005,20005,0,0
327,688.45,151,20005,20005,0,0
328,688.4667,151,20005,20005,0,0
329,688.4833,151,20005,20005,0,0
330,688.5,151,20005,20005,0,0
331,688.5167,151,20005,20005,0,0
332,688.5333,151,20005,20005,0,0
333,688.55,151,20005,20005,0,0
334,688.5667,151,20005,20005,0,0
335,688.5833,151,20005,20005,0,0
336,688.6,151,20005,20005,0,0
337,688.6167,151,20005,20005,0,0
338,688.6333,151,20005,20005,0,0
339,688.65,151,20005,20005,0,0
340,688.6667,151,19358,20005,647,-647
341,688.6833,151,19360,20005,645,2
342,688.7,151,20005,20005,0,645
343,688.7167,151,20005,20005,0,0
344,688.7333,151,20005,20005,0,0
345,688.75,151,20005,20005,0,0
346,688.7667,151,20005,20005,0,0
347,688.7833,151,20005,20005,0,0
348,688.8,151,20005,20005,0,0
349,688.8167,151,20005,20005,0,0
350,688.8333,151,20005,20005,0,0
351,688.85,151,20005,20005,0,0
352,688.8667,151,20005,20005,0,0
353,688.8833,151,20005,20005,0,0
354,688.9,151,20005,20005,0,0
355,688.9167,151,20005,20005,0,0
356,688.9333,151,20005,20005,0,0
357,688.95,151,20005,20005,0,0
358,688.9667,151,20005,20005,0,0
359,688.9833,151,20005,20005,0,0
360,689.0,151,20005,20005,0,0
361,689.0167,151,18672,20005,1333,-1333
362,689.0333,151,19408,20005,597,736
363,689.05,151,19410,20005,595,2
364,689.0667,151,19412,20005,593,2
365,689.0833,151,19414,20005,591,2
366,689.1,151,19416,20005,589,2
367,689.1167,151,19418,20005,587,2
368,689.1333,151,19420,20005,585,2
369,689.15,151,19423,20005,582,3
370,689.1667,151,19425,20005,580,2
371,689.1833,151,19427,20005,578,2
372,689.2,151,19429,20005,576,2
373,689.2167,151,19431,20005,574,2
374,689.2333,151,19433,20005,572,2
375,689.25,151,19435,20005,570,2
376,689.2667,151,19437,20005,568,2
377,689.2833,151,19439,20005,566,2
378,689.3,151,19441,20005,564,2
379,689.3167,151,19443,20005,562,2
380,689.3333,151,19445,20005,560,2
381,689.35,151,19124,20005,881,-321
382,689.3667,151,19873,20005,132,749
383,689.3833,151,19875,20005,130,2
384,689.4,151,19877,20005,128,2
385,689.4167,151,19879,20005,126,2
386,689.4333,151,19881,20005,124,2
387,689.45,151,20005,20005,0,124
388,689.4667,151,20005,20005,0,0
389,689.4833,151,20005,20005,0,0
390,689.5,151,20005,20005,0,0
391,689.5167,151,20005,20005,0,0
392,689.5333,151,18887,20005,1118,-1118
393,689.55,151,18889,20005,1116,2
394,689.5667,151,18891,20005,1114,2
395,689.5833,151,18893,20005,1112,2
396,689.6,151,18895,20005,1110,2
397,689.6167,151,20005,20005,0,1110
398,689.6333,151,20005,20005,0,0
399,689.65,151,19989,20005,16,-16
400,689.6667,151,19992,20005,13,3
401,689.6833,151,19994,20005,11,2
402,689.7,151,20005,20005,0,11
403,689.7167,151,19358,20005,647,-647
404,689.7333,151,19360,20005,645,2
405,689.75,151,19346,20005,659,-14
406,689.7667,151,19348,20005,657,2
407,689.7833,151,20005,20005,0,657
408,689.8,151,20005,20005,0,0
409,689.8167,151,20005,20005,0,0
410,689.8333,151,20005,20005,0,0
411,689.85,151,19989,20005,16,-16
412,689.8667,151,20005,20005,0,16
413,689.8833,151,20005,20005,0,0
414,689.9,151,20005,20005,0,0
415,689.9167,151,20005,20005,0,0
416,689.9333,151,20005,20005,0,0
417,689.95,151,20005,20005,0,0
418,689.9667,151,19666,20005,339,-339
419,689.9833,151,19668,20005,337,2
420,690.0,151,19670,20005,335,2
421,690.0167,151,19672,20005,333,2
422,690.0333,151,19674,20005,331,2
423,690.05,151,19676,20005,329,2
424,690.0667,151,19663,20005,342,-13
425,690.0833,151,19665,20005,340,2
426,690.1,151,19667,20005,338,2
427,690.1167,151,19669,20005,336,2
428,690.1333,151,19671,20005,334,2
429,690.15,151,19673,20005,332,2
430,690.1667,151,19660,20005,345,-13
431,690.1833,151,19662,20005,343,2
432,690.2,151,19664,20005,341,2
433,690.2167,151,19666,20005,339,2
434,690.2333,151,19668,20005,337,2
435,690.25,151,19670,20005,335,2
436,690.2667,151,19657,20005,348,-13
437,690.2833,151,19659,20005,346,2
438,690.3,151,19661,20005,344,2
439,690.3167,151,19663,20005,342,2
440,690.3333,151,19665,20005,340,2
441,690.35,151,19667,20005,338,2
442,690.3667,151,19669,20005,336,2
443,690.3833,151,19656,20005,349,-13
444,690.4,151,19658,20005,347,2
445,690.4167,151,19660,20005,345,2
446,690.4333,151,19662,20005,343,2
447,690.45,151,19664,20005,341,2
448,690.4667,151,19666,20005,339,2
449,690.4833,151,19652,20005,353,-14
450,690.5,151,19654,20005,351,2
451,690.5167,151,19657,20005,348,3
452,690.5333,151,19659,20005,346,2
453,690.55,151,19661,20005,344,2
454,690.5667,151,19663,20005,342,2
455,690.5833,151,19649,20005,356,-14
456,690.6,151,19651,20005,354,2
457,690.6167,151,19653,20005,352,2
458,690.6333,151,19656,20005,349,3
459,690.65,151,19658,20005,347,2
460,690.6667,151,19660,20005,345,2
461,690.6833,151,19646,20005,359,-14
462,690.7,151,19648,20005,357,2
463,690.7167,151,19650,20005,355,2
464,690.7333,151,19652,20005,353,2
465,690.75,151,19654,20005,351,2
466,690.7667,151,19657,20005,348,3
467,690.7833,151,19659,20005,346,2
468,690.8,151,19645,20005,360,-14
469,690.8167,151,19647,20005,358,2
470,690.8333,151,19649,20005,356,2
471,690.85,151,19651,20005,354,2
472,690.8667,151,19653,20005,352,2
473,690.8833,151,20005,20005,0,352
474,690.9,151,19989,20005,16,-16
475,690.9167,151,19992,20005,13,3
476,690.9333,151,19994,20005,11,2
477,690.95,151,19996,20005,9,2
478,690.9667,151,19998,20005,7,2
479,690.9833,151,19972,20005,33,-26
480,691.0,151,19958,20005,47,-14
481,691.0167,151,19637,20005,368,-321
482,691.0333,151,19639,20005,366,2
483,691.05,151,19641,20005,364,2
484,691.0667,151,19643,20005,362,2
485,691.0833,151,19617,20005,388,-26
486,691.1,151,19604,20005,401,-13
487,691.1167,151,19606,20005,399,2
488,691.1333,151,19608,20005,397,2
489,691.15,151,19610,20005,395,2
490,691.1667,151,19612,20005,393,2
491,691.1833,151,19586,20005,419,-26
492,691.2,151,19588,20005,417,2
493,691.2167,151,19575,20005,430,-13
494,691.2333,151,19577,20005,428,2
495,691.25,151,19579,20005,426,2
496,691.2667,151,19581,20005,424,2
497,691.2833,151,19555,20005,450,-26
498,691.3,151,19558,20005,447,3
499,691.3167,151,19544,20005,461,-14
500,691.3333,151,19546,20005,459,2
501,691.35,151,19548,20005,457,2
502,691.3667,151,19550,20005,455,2
503,691.3833,151,20005,20005,0,455
504,691.4,151,19977,20005,28,-28
505,691.4167,151,19964,20005,41,-13
506,691.4333,151,19966,20005,39,2
507,691.45,151,19968,20005,37,2
508,691.4667,151,20005,20005,0,37
509,691.4833,151,20005,20005,0,0
510,691.5,151,19977,20005,28,-28
511,691.5167,151,19964,20005,41,-13
512,691.5333,151,19966,20005,39,2
513,691.55,151,20005,20005,0,39
514,691.5667,151,20005,20005,0,0
515,691.5833,151,20005,20005,0,0
516,691.6,151,20005,20005,0,0
517,691.6167,151,20005,20005,0,0
518,691.6333,151,20005,20005,0,0
519,691.65,151,20005,20005,0,0
520,691.6667,151,20005,20005,0,0
521,691.6833,151,20005,20005,0,0
522,691.7,151,20005,20005,0,0
523,691.7167,151,20005,20005,0,0
524,691.7333,151,20005,20005,0,0
525,691.75,151,20005,20005,0,0
526,691.7667,151,20005,20005,0,0
527,691.7833,151,20005,20005,0,0
528,691.8,151,20005,20005,0,0
529,691.8167,151,20005,20005,0,0
530,691.8333,151,20005,20005,0,0
531,691.85,151,20005,20005,0,0
532,691.8667,151,20005,20005,0,0
533,691.8833,151,20005,20005,0,0
534,691.9,151,20005,20005,0,0
535,691.9167,151,20005,20005,0,0
536,691.9333,151,20005,20005,0,0
537,691.95,151,20005,20005,0,0
538,691.9667,151,20005,20005,0,0
539,691.9833,151,20005,20005,0,0
540,692.0,151,20005,20005,0,0
541,692.0167,151,20005,20005,0,0
542,692.0333,151,20005,20005,0,0
543,692.05,151,19711,20005,294,-294
544,692.0667,151,19714,20005,291,3
545,692.0833,151,19716,20005,289,2
546,692.1,151,19718,20005,287,2
547,692.1167,151,19720,20005,285,2
548,692.1333,151,20005,20005,0,285
549,692.15,151,20005,20005,0,0
550,692.1667,151,20005,20005,0,0
551,692.1833,151,20005,20005,0,0
552,692.2,151,20005,20005,0,0
553,692.2167,151,20005,20005,0,0
554,692.2333,151,20005,20005,0,0
555,692.25,151,20005,20005,0,0
556,692.2667,151,20005,20005,0,0
557,692.2833,151,20005,20005,0,0
558,692.3,151,20005,20005,0,0
559,692.3167,151,20005,20005,0,0
560,692.3333,151,20005,20005,0,0
561,692.35,151,20005,20005,0,0
562,692.3667,151,20005,20005,0,0
563,692.3833,151,20005,20005,0,0
564,692.4,151,20005,20005,0,0
565,692.4167,151,20005,20005,0,0
566,692.4333,151,20005,20005,0,0
567,692.45,151,20005,20005,0,0
568,692.4667,151,20005,20005,0,0
569,692.4833,151,20005,20005,0,0
570,692.5,151,20005,20005,0,0
571,692.5167,151,20005,20005,0,0
572,692.5333,151,20005,20005,0,0
573,692.55,151,20005,20005,0,0
574,692.5667,151,20005,20005,0,0
575,692.5833,151,20005,20005,0,0
576,692.6,151,20005,20005,0,0
577,692.6167,151,20005,20005,0,0
578,692.6333,151,20005,20005,0,0
579,692.65,151,20005,20005,0,0
580,692.6667,151,20005,20005,0,0
581,692.6833,151,20005,20005,0,0
582,692.7,151,20005,20005,0,0
583,692.7167,151,20005,20005,0,0
584,692.7333,151,20005,20005,0,0
585,692.75,151,20005,20005,0,0
586,692.7667,151,20005,20005,0,0
587,692.7833,151,20005,20005,0,0
588,692.8,151,20005,20005,0,0
589,692.8167,151,20005,20005,0,0
590,692.8333,151,20005,20005,0,0
591,692.85,151,20005,20005,0,0
592,692.8667,151,20005,20005,0,0
593,692.8833,151,20005,20005,0,0
594,692.9,151,20005,20005,0,0
595,692.9167,151,20005,20005,0,0
596,692.9333,151,20005,20005,0,0
597,692.95,151,20005,20005,0,0
598,692.9667,151,19506,20005,499,-499
599,692.9833,151,19508,20005,497,2
600,693.0,151,19510,20005,495,2
601,693.0167,151,19513,20005,492,3
602,693.0333,151,19515,20005,490,2
603,693.05,151,19517,20005,488,2
604,693.0667,151,19519,20005,486,2
605,693.0833,151,19521,20005,484,2
606,693.1,151,19229,20005,776,-292
607,693.1167,151,19231,20005,774,2
608,693.1333,151,19233,20005,772,2
609,693.15,151,19236,20005,769,3
610,693.1667,151,19238,20005,767,2
611,693.1833,151,19240,20005,765,2
612,693.2,151,19242,20005,763,2
613,693.2167,151,19244,20005,761,2
614,693.2333,151,19246,20005,759,2
615,693.25,151,19248,20005,757,2
616,693.2667,151,19250,20005,755,2
617,693.2833,151,19252,20005,753,2
618,693.3,151,19254,20005,751,2
619,693.3167,151,19256,20005,749,2
620,693.3333,151,19258,20005,747,2
621,693.35,151,19260,20005,745,2
622,693.3667,151,19262,20005,743,2
623,693.3833,151,19264,20005,741,2
624,693.4,151,19267,20005,738,3
625,693.4167,151,19269,20005,736,2
626,693.4333,151,19271,20005,734,2
627,693.45,151,19273,20005,732,2
628,693.4667,151,19275,20005,730,2
629,693.4833,151,19277,20005,728,2
