id,mean_v,mean_s,dark_desat,flatcols,flatrows,L_dark,L_v,R_dark,R_v,delta_min,mtime,bytes
193,0.25388428568840027,0.3804452419281006,0.4281597222222222,0.003125,0.011111111111111112,0.32225694444444447,0.2888481914997101,0.5340625,0.21892033517360687,3.063790509259259,1785099448.5548391,3956463
194,0.262481153011322,0.3871079385280609,0.4099305555555556,0.0,0.011111111111111112,0.2861111111111111,0.305481493473053,0.53375,0.21948081254959106,2.5953472222222222,1785099451.7246585,4020276
195,0.25924593210220337,0.38455748558044434,0.41921875,0.003125,0.011111111111111112,0.2884027777777778,0.30264830589294434,0.5500347222222223,0.2158435583114624,2.35724537037037,1785099455.1350555,4005041
196,0.26085165143013,0.38370659947395325,0.42135416666666664,0.0,0.011111111111111112,0.2864236111111111,0.30608949065208435,0.5562847222222222,0.21561384201049805,1.9873784722222223,1785099459.4225216,4005593
197,0.2622806429862976,0.3838692903518677,0.4165451388888889,0.0,0.011111111111111112,0.28684027777777776,0.30623218417167664,0.54625,0.21832913160324097,1.9873784722222223,1785099461.653396,4016534
198,0.262519896030426,0.3841017186641693,0.4189409722222222,0.0,0.011111111111111112,0.28326388888888887,0.30805081129074097,0.5546180555555555,0.21698898077011108,2.155572916666667,1785099466.4536824,4018901
199,0.2616834044456482,0.38542625308036804,0.41779513888888886,0.0,0.011111111111111112,0.28260416666666666,0.3069954216480255,0.5529861111111111,0.21637146174907684,1.203425925925926,1785099470.1673794,4006670
200,0.2624209523200989,0.38494211435317993,0.41847222222222225,0.0,0.011111111111111112,0.2805902777777778,0.3078729510307312,0.5563541666666667,0.21696895360946655,1.203425925925926,1785099476.2339764,4014228
201,0.26588162779808044,0.38609832525253296,0.4099652777777778,0.0,0.011111111111111112,0.2809375,0.3101670742034912,0.5389930555555555,0.2215961366891861,2.325763888888889,1785099479.8433492,4033942
202,0.264037549495697,0.3866509199142456,0.41348958333333335,0.0,0.011111111111111112,0.2790972222222222,0.30856847763061523,0.5478819444444445,0.21950654685497284,2.325763888888889,1785099484.1162443,4030118
203,0.25974538922309875,0.3892272412776947,0.4134375,0.003125,0.0,0.2847222222222222,0.30345985293388367,0.5421527777777778,0.21603091061115265,2.483559027777778,1785099487.2880273,3978677
204,0.257941871881485,0.38964274525642395,0.4128298611111111,0.0,0.0,0.28208333333333335,0.30271992087364197,0.5435763888888889,0.213163822889328,1.9128587962962964,1785099490.6198776,3959969
205,0.25893595814704895,0.389381468296051,0.41269097222222223,0.003125,0.0,0.28315972222222224,0.3030250668525696,0.5422222222222223,0.21484683454036713,1.9128587962962964,1785099493.1380079,3970836
206,0.2604560852050781,0.38898763060569763,0.4112152777777778,0.0,0.0,0.28142361111111114,0.305766224861145,0.5410069444444444,0.21514597535133362,1.8963715277777777,1785099497.3148682,3980308
207,0.26396945118904114,0.39009910821914673,0.4052777777777778,0.0,0.0,0.27930555555555553,0.3078218996524811,0.53125,0.22011698782444,1.8963715277777777,1785099502.7993596,3996242
208,0.2630356252193451,0.38859301805496216,0.409375,0.003125,0.0,0.28274305555555557,0.3066352307796478,0.5360069444444444,0.21943601965904236,2.7686284722222223,1785099505.7059212,3988697
209,0.2428353875875473,0.3539930284023285,0.4636111111111111,0.109375,0.0,0.34055555555555556,0.3052159547805786,0.5866666666666667,0.1804547756910324,7.881631944444444,1785099518.9758935,3634224
210,0.22270040214061737,0.3437967896461487,0.5069791666666666,0.08125,0.0,0.42246527777777776,0.27138084173202515,0.5914930555555555,0.17401988804340363,7.881631944444444,1785099521.4894378,3554166
211,0.24360314011573792,0.35341086983680725,0.46258680555555554,0.1,0.0,0.34315972222222224,0.30660146474838257,0.5820138888888889,0.18060486018657684,9.091261574074075,1785099523.9574642,3646191
212,0.3580321669578552,0.3082655966281891,0.38635416666666667,0.003125,0.0,0.2317013888888889,0.4505034387111664,0.5410069444444444,0.2655608654022217,25.882251157407406,1785099528.111832,4048253
213,0.2523319125175476,0.35688483715057373,0.4407638888888889,0.09375,0.005555555555555556,0.3042708333333333,0.32130134105682373,0.5772569444444444,0.18336249887943268,3.452488425925926,1785099531.114809,3648057
214,0.2594703435897827,0.3581441342830658,0.42149305555555555,0.084375,0.005555555555555556,0.2833333333333333,0.32971760630607605,0.5596527777777778,0.189223051071167,3.452488425925926,1785099533.8123558,3726745
